Archive generated with bash command "./prime-generator > primenumbers.txt" 

pg: 2 is a prime number
pg: 3 is a prime number
pg: 5 is a prime number
pg: 7 is a prime number
pg: 11 is a prime number
pg: 13 is a prime number
pg: 17 is a prime number
pg: 19 is a prime number
pg: 23 is a prime number
pg: 29 is a prime number
pg: 31 is a prime number
pg: 37 is a prime number
pg: 41 is a prime number
pg: 43 is a prime number
pg: 47 is a prime number
pg: 53 is a prime number
pg: 59 is a prime number
pg: 61 is a prime number
pg: 67 is a prime number
pg: 71 is a prime number
pg: 73 is a prime number
pg: 79 is a prime number
pg: 83 is a prime number
pg: 89 is a prime number
pg: 97 is a prime number
pg: 101 is a prime number
pg: 103 is a prime number
pg: 107 is a prime number
pg: 109 is a prime number
pg: 113 is a prime number
pg: 127 is a prime number
pg: 131 is a prime number
pg: 137 is a prime number
pg: 139 is a prime number
pg: 149 is a prime number
pg: 151 is a prime number
pg: 157 is a prime number
pg: 163 is a prime number
pg: 167 is a prime number
pg: 173 is a prime number
pg: 179 is a prime number
pg: 181 is a prime number
pg: 191 is a prime number
pg: 193 is a prime number
pg: 197 is a prime number
pg: 199 is a prime number
pg: 211 is a prime number
pg: 223 is a prime number
pg: 227 is a prime number
pg: 229 is a prime number
pg: 233 is a prime number
pg: 239 is a prime number
pg: 241 is a prime number
pg: 251 is a prime number
pg: 257 is a prime number
pg: 263 is a prime number
pg: 269 is a prime number
pg: 271 is a prime number
pg: 277 is a prime number
pg: 281 is a prime number
pg: 283 is a prime number
pg: 293 is a prime number
pg: 307 is a prime number
pg: 311 is a prime number
pg: 313 is a prime number
pg: 317 is a prime number
pg: 331 is a prime number
pg: 337 is a prime number
pg: 347 is a prime number
pg: 349 is a prime number
pg: 353 is a prime number
pg: 359 is a prime number
pg: 367 is a prime number
pg: 373 is a prime number
pg: 379 is a prime number
pg: 383 is a prime number
pg: 389 is a prime number
pg: 397 is a prime number
pg: 401 is a prime number
pg: 409 is a prime number
pg: 419 is a prime number
pg: 421 is a prime number
pg: 431 is a prime number
pg: 433 is a prime number
pg: 439 is a prime number
pg: 443 is a prime number
pg: 449 is a prime number
pg: 457 is a prime number
pg: 461 is a prime number
pg: 463 is a prime number
pg: 467 is a prime number
pg: 479 is a prime number
pg: 487 is a prime number
pg: 491 is a prime number
pg: 499 is a prime number
pg: 503 is a prime number
pg: 509 is a prime number
pg: 521 is a prime number
pg: 523 is a prime number
pg: 541 is a prime number
pg: 547 is a prime number
pg: 557 is a prime number
pg: 563 is a prime number
pg: 569 is a prime number
pg: 571 is a prime number
pg: 577 is a prime number
pg: 587 is a prime number
pg: 593 is a prime number
pg: 599 is a prime number
pg: 601 is a prime number
pg: 607 is a prime number
pg: 613 is a prime number
pg: 617 is a prime number
pg: 619 is a prime number
pg: 631 is a prime number
pg: 641 is a prime number
pg: 643 is a prime number
pg: 647 is a prime number
pg: 653 is a prime number
pg: 659 is a prime number
pg: 661 is a prime number
pg: 673 is a prime number
pg: 677 is a prime number
pg: 683 is a prime number
pg: 691 is a prime number
pg: 701 is a prime number
pg: 709 is a prime number
pg: 719 is a prime number
pg: 727 is a prime number
pg: 733 is a prime number
pg: 739 is a prime number
pg: 743 is a prime number
pg: 751 is a prime number
pg: 757 is a prime number
pg: 761 is a prime number
pg: 769 is a prime number
pg: 773 is a prime number
pg: 787 is a prime number
pg: 797 is a prime number
pg: 809 is a prime number
pg: 811 is a prime number
pg: 821 is a prime number
pg: 823 is a prime number
pg: 827 is a prime number
pg: 829 is a prime number
pg: 839 is a prime number
pg: 853 is a prime number
pg: 857 is a prime number
pg: 859 is a prime number
pg: 863 is a prime number
pg: 877 is a prime number
pg: 881 is a prime number
pg: 883 is a prime number
pg: 887 is a prime number
pg: 907 is a prime number
pg: 911 is a prime number
pg: 919 is a prime number
pg: 929 is a prime number
pg: 937 is a prime number
pg: 941 is a prime number
pg: 947 is a prime number
pg: 953 is a prime number
pg: 967 is a prime number
pg: 971 is a prime number
pg: 977 is a prime number
pg: 983 is a prime number
pg: 991 is a prime number
pg: 997 is a prime number
pg: 1009 is a prime number
pg: 1013 is a prime number
pg: 1019 is a prime number
pg: 1021 is a prime number
pg: 1031 is a prime number
pg: 1033 is a prime number
pg: 1039 is a prime number
pg: 1049 is a prime number
pg: 1051 is a prime number
pg: 1061 is a prime number
pg: 1063 is a prime number
pg: 1069 is a prime number
pg: 1087 is a prime number
pg: 1091 is a prime number
pg: 1093 is a prime number
pg: 1097 is a prime number
pg: 1103 is a prime number
pg: 1109 is a prime number
